resultID,studyName,riskFactorName,fatality,fatalityLowerBound,fatalityUpperBound,fatalitypValue,fatalitySignificance,fatalityAdjusted,fatalityCalculated
29c301f7d0c9,"Clinical characteristics and outcomes of patients with severe covid-19 with diabetes",Hypertension,"OR 2.49",9.35,0.0,,Significant,"Not Adjusted",Calculated
696e9823f7c6,"Clinical characteristics and outcomes of patients with severe covid-19 with diabetes",Diabetes,"OR 2.16",10.57,0.0,,Significant,"Not Adjusted",Calculated
dd47e3e5ebff,"Clinical characteristics and prognosis in cancer patients with COVID-19: A single center's retrospective study","Male gender",,,,,,,
434c02ec5d2e,"Clinical Characteristics and Risk Factors for Mortality of COVID-19 Patients With Diabetes in Wuhan, China: A Two-Center, Retrospective Study","Male gender","OR 0.88",3.11,0.12,,"Not Significant","Not Adjusted",Calculated
602769384d38,"Clinical Characteristics and Risk Factors for Mortality of COVID-19 Patients With Diabetes in Wuhan, China: A Two-Center, Retrospective Study",Diabetes,"OR 1.13",4.17,0.02,,Significant,"Not Adjusted",Calculated
02bbcbb5edf9,"Clinical Characteristics and Risk Factors for Mortality of COVID-19 Patients With Diabetes in Wuhan, China: A Two-Center, Retrospective Study.","Chronic respiratory diseases","OR 1.16",8.05,0.02,,Significant,"Not Adjusted",Calculated
47fea82b8c1d,"Clinical Characteristics and Risk Factors for Mortality of COVID-19 Patients With Diabetes in Wuhan, China: A Two-Center, Retrospective Study.","Cerebrovascular disease","OR 2.10",18.92,0.0,,Significant,"Not Adjusted",Calculated
df5cc9167df2,"Clinical Characteristics and Risk Factors for Mortality of COVID-19 Patients With Diabetes in Wuhan, China: A Two-Center, Retrospective Study.",Hypertension,"OR 1.78",6.69,0.0,,Significant,"Not Adjusted",Calculated
f6e23fb0db6b,"Clinical Characteristics and Risk Factors for Mortality of COVID-19 Patients With Diabetes in Wuhan, China: A Two-Center, Retrospective Study.","Heart Disease","OR 1.99",8.1,0.0,,Significant,"Not Adjusted",Calculated
06748e552548,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China","Male gender",,,,,,,
5cd8c06f7ae7,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China","Heart Disease",,,,,,,
76df9adb420b,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China",Hypertension,,,,,,,
82a55416e373,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China","Male gender",,,,,,,
bf374270d6c5,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China",Diabetes,,,,,,,
c1650e51486c,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China","Heart Disease",,,,,,,
d5c1e4b0d073,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China",Diabetes,,,,,,,
ebd993dfd4ee,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China",Hypertension,,,,,,,
0a8bc5a716ed,"Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study","Heart Disease",,,,,,,
504c1b9a27bc,"Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study",Dementia,,,,,,,
64848c4f8e0b,"Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study",COPD,,,,,,,
6c25ce0948fb,"Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study",Diabetes,,,,,,,
811bd4cf4cfc,"Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study","Smoking Status",,,,,,,
aa67cacee6fc,"Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study",Hypertension,,,,,,,
712f07ffcfe5,"Clinical characteristics of 145 patients with corona virus disease 2019 (COVID-19) in Taizhou, Zhejiang, China",Diabetes,,,,,,,
d00c93948d0f,"Clinical characteristics of 145 patients with corona virus disease 2019 (COVID-19) in Taizhou, Zhejiang, China",Hypertension,,,,,,,
df270dc0a66c,"Clinical characteristics of 145 patients with corona virus disease 2019 (COVID-19) in Taizhou, Zhejiang, China","Male gender",,,,,,,
112099211922,"Clinical characteristics of 2019 novel coronavirus infection in China",COPD,,,,,,,
26700b69e474,"Clinical characteristics of 2019 novel coronavirus infection in China","Smoking Status",,,,,,,
0c2531a94ccd,"Clinical Characteristics of Coronavirus Disease 2019 in China","Smoking Status",,,,,,,
738296ee95a6,"Clinical Characteristics of Coronavirus Disease 2019 in China","Smoking Status",,,,,,,
9dd652c3ec57,"Clinical Characteristics of Coronavirus Disease 2019 in China",COPD,,,,,,,
faf96cf83605,"Clinical Characteristics of Coronavirus Disease 2019 in China",COPD,,,,,,,
370cae7041e9,"Clinical Characteristics of Covid-19 in New York City","Heart Disease",,,,,,,
5fe871595410,"Clinical Characteristics of Covid-19 in New York City","Overweight or obese",,,,,,,
6f700efc08cd,"Clinical Characteristics of Covid-19 in New York City",COPD,,,,,,,
d45a784f5c17,"Clinical Characteristics of Covid-19 in New York City","Male gender",,,,,,,
dc71225120e1,"Clinical Characteristics of Covid-19 in New York City",Asthma,,,,,,,
fe35945b70ab,"Clinical characteristics of COVID-19-infected cancer patients: A retrospective case study in three hospitals within Wuhan, China",Age,,,,,,,
014c42c79ec7,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Heart Disease","OR 2.98",2.12,4.18,<0.01,Significant,"Not Adjusted",Calculated
07f6311265d6,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City",Cancer,"OR 1.53",0.9,2.58,0.11,"Not Significant","Not Adjusted",Calculated
0834b41ed8ae,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Ethnicity_ Hispanic vs","OR 0.65",0.47,0.91,<0.05,Significant,"Not Adjusted",Calculated
0a26e80525e2,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Cerebrovascular disease","OR 2.10",1.29,3.4,<0.05,Significant,"Not Adjusted",Calculated
178b344ba0c5,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City",Hypertension,"OR 1.89",1.44,2.48,<0.05,Significant,"Not Adjusted",Calculated
3db65ec980a5,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Race_ Black vs","OR 0.86",0.59,1.22,0.37,"Not Significant","Not Adjusted",Calculated
45806598586b,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Male gender","OR 1.22",0.93,1.6,0.14,"Not Significant","Not Adjusted",Calculated
81c809d7d7d4,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Heart Disease","OR 2.98",2.12,4.18,<0.05,Significant,"Not Adjusted",Calculated
8a97f507f247,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Race_ Asian vs","OR 1.70",0.87,3.35,0.12,"Not Significant","Not Adjusted",Calculated
c3eb760957cc,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City",Diabetes,"OR 2.09",1.56,2.81,<0.05,Significant,"Not Adjusted",Calculated
c8ef48ca619c,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Chronic kidney disease","OR 2.02",1.31,3.1,<0.05,Significant,"Not Adjusted",Calculated
c995f5fb52db,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Heart Failure","OR 3.51",2.37,5.19,<0.05,Significant,"Not Adjusted",Calculated
df60f62ff383,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City",Asthma,"OR 0.93",0.56,1.53,0.77,"Not Significant","Not Adjusted",Calculated
7080a158a649,"Clinical characteristics of patients diagnosed with COVID-19 in Beijing",Hypertension,,,,,,,
ec4093b3e004,"Clinical characteristics of patients diagnosed with COVID-19 in Beijing","Male gender",,,,,,,
4ad9428fda0d,"Clinical Characteristics of Patients with Severe Pneumonia Caused by the 2019 Novel Coronavirus in Wuhan, China","Smoking Status",,,,,,,
1868c677ece1,"Clinical characteristics, outcomes, and risk factors for mortality in patients with cancer and COVID-19 in Hubei, China: a multicentre, retrospective, cohort study","Male gender",OR=3.86,1.8,8.25,<0.05,Significant,"Not Adjusted",Extracted
a396702b0196,"Clinical characteristics, outcomes, and risk factors for mortality in patients with cancer and COVID-19 in Hubei, China: a multicentre, retrospective, cohort study","Heart Disease","OR 2.00",0.65,6.12,0.22,"Not Significant","Not Adjusted",Calculated
aed50ab3e9c0,"Clinical characteristics, outcomes, and risk factors for mortality in patients with cancer and COVID-19 in Hubei, China: a multicentre, retrospective, cohort study","Male gender",AOR=3.86,1.57,9.5,<0.05,Significant,Adjusted,Extracted
f2fcec175203,"Clinical characteristics, outcomes, and risk factors for mortality in patients with cancer and COVID-19 in Hubei, China: a multicentre, retrospective, cohort study",Hypertension,"OR 0.74",0.34,1.59,0.44,"Not Significant","Not Adjusted",Calculated
ee71f02d2d26,"Clinical Characteristics, Risk Factors and Outcomes Among the First Consecutive 1,096 Patients Diagnosed with COVID-19: The Kuwait Experience","Smoking Status",AOR=10.09,1.22,83.4,<0.05,Significant,Adjusted,Extracted
fc5bb40c18b6,"Clinical Characteristics, Risk Factors and Outcomes Among the First Consecutive 1,096 Patients Diagnosed with COVID-19: The Kuwait Experience",Asthma,AOR=4.92,1.03,23.44,<0.05,Significant,Adjusted,Extracted
9f5b2c12f425,"Clinical course and outcome of 107 patients infected with the novel coronavirus, SARS-CoV-2, discharged from two hospitals in Wuhan, China",Hypertension,"OR 5.00",1.75,14.3,<0.01,Significant,"Not Adjusted",Calculated
b860ba5ff7b4,"Clinical course and outcome of 107 patients infected with the novel coronavirus, SARS-CoV-2, discharged from two hospitals in Wuhan, China","Heart Disease","OR 7.97",2.29,27.75,<0.01,Significant,"Not Adjusted",Calculated
c0adfc032c1b,"Clinical course and outcome of 107 patients infected with the novel coronavirus, SARS-CoV-2, discharged from two hospitals in Wuhan, China",Diabetes,"OR 4.88",1.31,18.18,0.02,Significant,"Not Adjusted",Calculated
29016dd1e83d,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study","Smoking Status","OR 2.23",0.65,7.63,0.2,"Not Significant","Not Adjusted",Calculated
2e033a3384c4,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study","Smoking Status","OR: 2.23",0.65,7.63,0.2,"Not Significant","Not Adjusted",Calculated
34edea68de60,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study","Smoking Status",OR=2.23,0.65,7.63,0.2,"Not Significant","Not Adjusted",Extracted
5f658a2c3b0d,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Age,AOR=1.10,1.03,1.17,<0.05,Significant,Adjusted,Extracted
bcdb310bbf1c,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Age,OR=1.14,1.09,1.18,<0.05,Significant,"Not Adjusted",Extracted
0b73453bb582,"Clinical course of severe and critical COVID-19 in hospitalized pregnancies: a US cohort study","Race_ Black vs",,,,,,,
19a152661bf6,"Clinical determinants for fatality of 44,672 patients with COVID-19",Hypertension,"OR 3.05",2.56,3.62,<0.01,Significant,"Not Adjusted","Extracted RR, Calculated OR"
983da351cd33,"Clinical determinants for fatality of 44,672 patients with COVID-19",Diabetes,"OR 3.54",2.79,4.48,<0.01,Significant,"Not Adjusted","Extracted RR, Calculated OR"
9d439ed62765,"Clinical determinants for fatality of 44,672 patients with COVID-19","Heart Disease","OR 5.42",4.33,6.8,<0.01,Significant,"Not Adjusted","Extracted RR, Calculated OR"
ff85e9321ee8,"Clinical determinants for fatality of 44,672 patients with COVID-19","Male gender","OR 1.69",1.48,1.92,<0.01,Significant,"Not Adjusted","Extracted RR, Calculated OR"
406a32fb7056,"Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China",Diabetes,,,,,,,
6ba7198e7d99,"Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China","Heart Disease",,,,,,,
a40753aa9105,"Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China",Hypertension,,,,,,,
3914e48e649f,"Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19",Hypertension,HR=2.3,1.5,3.6,<0.05,Significant,"Not Adjusted",Extracted
715be9e7faba,"Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19","Chronic kidney disease",HR=4.2,1.7,10.5,<0.05,Significant,"Not Adjusted",Extracted
72a009200eb5,"Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19",COPD,HR=3.1,1.8,5.4,<0.05,Significant,"Not Adjusted",Extracted
aefa4d977b79,"Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19",Cancer,HR=1.2,0.5,3.4,0.68,"Not Significant","Not Adjusted",Extracted
c7ccdcd853dd,"Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19",Diabetes,HR=1.1,0.6,1.9,0.88,"Not Significant","Not Adjusted",Extracted
eaf2e28a4c68,"Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19","Heart Disease",HR=1.8,1.1,2.9,<0.05,Significant,"Not Adjusted",Extracted
5f4beefb347a,"Clinical features of 95 sequential hospitalised patients with novel coronavirus 2019 disease (COVID-19), the first UK cohort","Chronic respiratory diseases","OR 0.86",0.29,2.5,0.78,"Not Significant","Not Adjusted",Calculated
7bbc2d75ee49,"Clinical features of 95 sequential hospitalised patients with novel coronavirus 2019 disease (COVID-19), the first UK cohort","Chronic kidney disease","OR 1.58",0.52,4.77,0.42,"Not Significant","Not Adjusted",Calculated
f85f660f0854,"Clinical features of 95 sequential hospitalised patients with novel coronavirus 2019 disease (COVID-19), the first UK cohort","Heart Failure","OR 4.51",1.39,14.61,0.01,Significant,"Not Adjusted",Calculated
7454df39350c,"Clinical findings of patients with coronavirus disease 2019 in Jiangsu province, China: A retrospective, multi-center study.","Male gender",,,,,,,
a29aeac7afb8,"Clinical findings of patients with coronavirus disease 2019 in Jiangsu province, China: A retrospective, multi-center study.","Overweight or obese",,,,,,,
a9914da1491d,"Clinical findings of patients with coronavirus disease 2019 in Jiangsu province, China: A retrospective, multi-center study.","Overweight or obese",,,,,,,
d8a7059ba354,"Clinical Presentation of COVID19 in Dementia Patients",Dementia,OR=1.84,1.08,3.13,<0.05,Significant,Adjusted,Extracted
f08ff92bfe4b,"Clinical Presentation of COVID19 in Dementia Patients",Age,OR=1.09,1.07,1.12,<0.05,Significant,Adjusted,Extracted
d418d5f3f61f,"Clinical progression of patients with COVID-19 in Shanghai, China",Age,,,,,,,
d467f2e3a937,"Clinical progression of patients with COVID-19 in Shanghai, China",Age,,,,,,,
b513e77e739f,"Cohort profile: Preliminary experience of 500 COVID-19 postive cases at a South West London District General Hospital.","Male gender","OR 1.34",0.88,2.05,0.17,"Not Significant","Not Adjusted",Calculated
3fbb7bf72577,"Comorbid Chronic Diseases and Acute Organ Injuries Are Strongly Correlated with Disease Severity and Mortality among COVID-19 Patients: A Systemic Review and Meta-Analysis",Diabetes,,,,,,,
52031eb9e93c,"Comorbid Chronic Diseases and Acute Organ Injuries Are Strongly Correlated with Disease Severity and Mortality among COVID-19 Patients: A Systemic Review and Meta-Analysis","Heart Disease",,,,,,,
7017ddd927e2,"Comorbidity and its impact on 1,590 patients with COVID-19 in China: A Nationwide Analysis",Cancer,,,,,,,
ebb0b65cc3c9,"Comorbidity and its impact on 1,590 patients with COVID-19 in China: A Nationwide Analysis [medrxiv]",COPD,,,,,,,
b9aa813d0617,"Compassionate Use of Remdesivir for Patients with Severe Covid-19","Male gender",,,,,,,
01babcfaf37b,"Coronavirus disease 2019 (COVID-19) and cardiovascular risk: A meta-analysis",Diabetes,,,,,,,
079943020cc8,"Coronavirus disease 2019 (COVID-19) and cardiovascular risk: A meta-analysis","Heart Failure",,,,,,,
2d9d87cff415,"Coronavirus disease 2019 (COVID-19) and cardiovascular risk: A meta-analysis","Smoking Status",,,,,,,
7abc80bf12f2,"Coronavirus disease 2019 (COVID-19) and cardiovascular risk: A meta-analysis","Heart Disease",,,,,,,
5688c6d0a448,"Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up",Age,"HR  1.08",1.06,1.11,<0.01,Significant,"Not Adjusted",Extracted
655cacf24c4f,"Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up",Age,"AHR 1.06",1.03,1.1,<0.01,Significant,Adjusted,Extracted
f6da362a4cbe,"Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up","Cerebrovascular disease","HR 3.26",1.66,6.4,<0.01,Significant,"Not Adjusted",Extracted
da22295aa3c3,"Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up [Journal of Infection]",COPD,"AHR 2.24",1.12,4.5,0.02,Significant,Adjusted,Extracted
0007c3dc5257,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Male gender","AOR 2.02",0.79,5.18,0.14,"Not Significant",Adjusted,Extracted
2ac2eb32b34a,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Male gender","OR 1.76",0.98,3.23,0.06,"Not Significant","Not Adjusted",Extracted
2bca890051bc,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Race_ Other vs","OR 1.99",0.84,4.71,0.12,"Not Significant","Not Adjusted",Calculated
4b1e18ae1bbd,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort",Diabetes,"OR 1.68",0.94,3.01,0.08,"Not Significant","Not Adjusted",Calculated
5c2f977b6bb0,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort",Age,"AOR 1.08",1.04,1.12,<0.01,Significant,Adjusted,Extracted
7e16fde0be25,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort",Age,"OR 1.06",1.03,1.08,<0.01,Significant,"Not Adjusted",Extracted
8ad23c035b50,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort",Hypertension,"OR 1.83",0.97,3.44,0.06,"Not Significant","Not Adjusted",Calculated
9b2553885804,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Ethnicity_ Hispanic vs","OR 0.59",0.31,1.11,0.1,"Not Significant","Not Adjusted",Calculated
ab4fb33723aa,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Chronic kidney disease","OR 1.35",0.65,2.81,0.42,"Not Significant","Not Adjusted",Calculated
bf7867495fe3,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Chronic respiratory diseases","OR 0.95",0.48,1.86,0.88,"Not Significant","Not Adjusted",Calculated
e6e92e52781b,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Race_ Black vs","OR 1.95",0.82,4.63,0.13,"Not Significant","Not Adjusted",Calculated
067f42876574,"Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans","Ethnicity_ Hispanic vs",AOR=1.80,1.63,1.99,,Significant,Adjusted,Extracted
6ad92fc32574,"Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans","Ethnicity_ Hispanic vs",AOR=2.25,2.04,2.49,,Significant,Adjusted,Extracted
8eafbadb15dc,"Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans","Race_ Black vs",AOR=3.13,2.94,3.33,,Significant,Adjusted,Extracted
ce59199f18a0,"Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans","Race_ Black vs",AOR=2.83,2.65,3.03,,Significant,Adjusted,Extracted
03123c5cd7ef,"COVID-19 in Iran, a comprehensive investigation from exposure to treatment outcomes",Hypertension,,,,,,,
3709153e7619,"COVID-19 in Iran, a comprehensive investigation from exposure to treatment outcomes",Diabetes,,,,,,,
fd8696bf7d17,"COVID-19 in Iran, a comprehensive investigation from exposure to treatment outcomes","Male gender",,,,,,,
6398f59a8069,"COVID-19 in Liver Transplant Recipients: An Initial Experience from the U.S. Epicenter","Heart Disease",,,,,,,
dda503f99bb7,"COVID-19 in Liver Transplant Recipients: An Initial Experience from the U.S. Epicenter",Diabetes,,,,,,,
1f0eca221328,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter","Race_ Black vs",,,,,,,
341fb9a9307b,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter",Hypertension,,,,,,,
6a9469f1e298,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter",Diabetes,,,,,,,
b0736a24c156,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter","Chronic respiratory diseases",,,,,,,
b624a19d3c8b,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter","Chronic kidney disease",,,,,,,
c26616bac4c8,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter",Hypertension,,,,,,,
cc7e29ac62a0,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter","Ethnicity_ Hispanic vs",,,,,,,
f96f85c04856,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter","Ethnicity_ Hispanic vs",,,,,,,
fd58c8b43614,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter","Male gender",,,,,,,
29cf70ac5ffe,"COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author","Male gender","OR 1.26",0.6,2.64,0.54,"Not Significant","Not Adjusted",Calculated
60c73999fb13,"COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author","Chronic kidney disease","OR 2.36",1.12,4.99,0.02,Significant,"Not Adjusted",Calculated
9f5aae416cc0,"COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author",Hypertension,"OR 0.80",0.33,1.92,0.62,"Not Significant","Not Adjusted",Calculated
c9ca5b4ecb3d,"COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author","Race_ Black vs","OR 0.42",0.16,1.1,0.07,"Not Significant","Not Adjusted",Calculated
f6a4fdd4d3f1,"COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author",COPD,"OR 1.16",0.54,2.51,0.71,"Not Significant","Not Adjusted",Calculated
fe7b802310c7,"COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author","Heart Disease","OR 2.39",1.14,5.05,0.02,Significant,"Not Adjusted",Calculated
282e328cb491,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years","Chronic kidney disease",,,,,,,
3289ae7d5602,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years","Chronic kidney disease",,,,,,,
3ec900b1eded,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years",COPD,,,,,,,
474b55d882c3,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years","Ethnicity_ Hispanic vs",,,,,,,
71bf431a7c72,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years",COPD,,,,,,,
c5cee78ce847,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years",COPD,,,,,,,
d0b5b0852fd8,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years","Chronic kidney disease",,,,,,,
39648e84cd3f,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features",Drinking,,,,,,,
66c870d4b16f,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features",Cancer,,,,,,,
7a28747bd9d4,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features",Diabetes,,,,,,,
9a4636c8afdc,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features",Hypertension,,,,,,,
9f336b4fd46b,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features","Male gender",,,,,,,
d53165fccdf5,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features",COPD,,,,,,,
e2a8ad387dd2,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features","Heart Disease",,,,,,,
e98717b97eac,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features","Smoking Status",,,,,,,
f743dc2bb3be,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features","Cerebrovascular disease",,,,,,,
033713fcf3c1,"COVID-19: Impact of Obesity and Diabetes in Disease Severity",Hypertension,,,,,,,
0cad4776a3ab,"COVID-19: Impact of Obesity and Diabetes in Disease Severity",Diabetes,,,,,,,
4641983a6d6e,"COVID-19: Impact of Obesity and Diabetes in Disease Severity","Overweight or obese",,,,,,,
46e93c1f9db3,"COVID-19: Impact of Obesity and Diabetes in Disease Severity","Male gender",,,,,,,
47a72310ac98,"COVID-19: Impact of Obesity and Diabetes in Disease Severity","Overweight or obese",,,,,,,
49f41552c7f2,"COVID-19: Impact of Obesity and Diabetes in Disease Severity",Diabetes,,,,,,,
6ea03ef31863,"COVID-19: Impact of Obesity and Diabetes in Disease Severity","Male gender",,,,,,,
94b11a73e748,"COVID-19: Impact of Obesity and Diabetes in Disease Severity",Hypertension,,,,,,,
c82dc984eb08,"COVID-19: Impact of Obesity and Diabetes in Disease Severity","Male gender",,,,,,,
ef37ab8af35c,"COVID-19: Impact of Obesity and Diabetes in Disease Severity",Hypertension,,,,,,,
ab88585f5eb0,"Development and external validation of a prognostic multivariable model on admission for hospitalized patients with COVID-19","Smoking Status","OR 0.93",0.26,3.27,0.91,"Not Significant","Not Adjusted",Calculated
00ec76149c4a,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.","Chronic kidney disease",,,,,,,
2bccde3fac0d,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.","Heart Disease",,,,,,,
449ab3087a75,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.",Diabetes,,,,,,,
5114812162c8,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.","Cerebrovascular disease",,,,,,,
8d1d4fa850d3,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.","Smoking Status",,,,,,,
bc9aa00427c4,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.",Cancer,,,,,,,
ec9d08b2b8b0,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.",COPD,,,,,,,
f9182bc5cc50,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.",Hypertension,,,,,,,
871fb9b3bf93,"Diabetes is associated with increased risk for in-hospital mortality in patients with COVID-19: a systematic review and meta-analysis comprising 18,506 patients",Diabetes,OR=1.65,1.35,1.96,,Significant,"Not Adjusted",Extracted
