resultID,studyName,riskFactorName,severity,severityLowerBound,severityUpperBound,severitypValue,severitySignificance,severityAdjusted,severityCalculated
5cd8c06f7ae7,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China","Heart Disease","HR 1.6",0.64,4.01,0.32,"Not Significant","Not Adjusted",Extracted
76df9adb420b,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China",Hypertension,"HR 1.12",0.46,2.75,0.8,"Not Significant","Not Adjusted",Extracted
82a55416e373,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China","Male gender","AHR 0.73",0.29,1.84,0.51,"Not Significant",Adjusted,Extracted
bf374270d6c5,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China",Diabetes,"AHR 0.62",0.22,1.73,0.36,"Not Significant",Adjusted,Extracted
c1650e51486c,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China","Heart Disease","AHR 1.06",0.38,2.97,0.91,"Not Significant",Adjusted,Extracted
d5c1e4b0d073,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China",Diabetes,"HR 0.71",0.26,1.95,0.38,"Not Significant","Not Adjusted",Extracted
ebd993dfd4ee,"Clinical Characteristics and Short-Term Outcomes of Severe Patients with COVID-19 in Wuhan, China",Hypertension,"AHR 0.96",0.39,2.38,0.93,"Not Significant",Adjusted,Extracted
0a8bc5a716ed,"Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study","Heart Disease","OR 0.73",0.31,1.74,0.48,"Not Significant","Not Adjusted",Calculated
504c1b9a27bc,"Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study",Dementia,"OR 1.61",0.59,4.44,0.35,"Not Significant","Not Adjusted",Calculated
64848c4f8e0b,"Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study",COPD,"OR 1.07",0.34,3.35,0.9,"Not Significant","Not Adjusted",Calculated
6c25ce0948fb,"Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study",Diabetes,"OR 0.77",0.34,1.71,0.51,"Not Significant","Not Adjusted",Calculated
811bd4cf4cfc,"Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study","Smoking Status","OR 1.74",0.6,5.06,0.31,"Not Significant","Not Adjusted",Calculated
aa67cacee6fc,"Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study",Hypertension,"OR 0.83",0.36,1.89,0.65,"Not Significant","Not Adjusted",Calculated
712f07ffcfe5,"Clinical characteristics of 145 patients with corona virus disease 2019 (COVID-19) in Taizhou, Zhejiang, China",Diabetes,"OR 2.64",0.86,8.05,0.09,"Not Significant","Not Adjusted",Calculated
d00c93948d0f,"Clinical characteristics of 145 patients with corona virus disease 2019 (COVID-19) in Taizhou, Zhejiang, China",Hypertension,"OR 1.81",0.71,4.63,0.21,"Not Significant","Not Adjusted",Calculated
df270dc0a66c,"Clinical characteristics of 145 patients with corona virus disease 2019 (COVID-19) in Taizhou, Zhejiang, China","Male gender","OR 0.94",0.46,1.93,0.88,"Not Significant","Not Adjusted",Calculated
112099211922,"Clinical characteristics of 2019 novel coronavirus infection in China",COPD,"OR 5.51",1.76,17.29,<0.01,Significant,"Not Adjusted",Calculated
26700b69e474,"Clinical characteristics of 2019 novel coronavirus infection in China","Smoking Status","OR 1.91",1.27,2.86,<0.01,Significant,"Not Adjusted",Calculated
0c2531a94ccd,"Clinical Characteristics of Coronavirus Disease 2019 in China","Smoking Status","OR 2.60",1.45,4.66,<0.01,Significant,"Not Adjusted",Calculated
738296ee95a6,"Clinical Characteristics of Coronavirus Disease 2019 in China","Smoking Status","OR 1.5",0.97,2.36,0.07,"Not Significant","Not Adjusted",Calculated
9dd652c3ec57,"Clinical Characteristics of Coronavirus Disease 2019 in China",COPD,"OR 5.51",1.76,17.29,<0.01,Significant,"Not Adjusted",Calculated
faf96cf83605,"Clinical Characteristics of Coronavirus Disease 2019 in China",COPD,"OR 23.96",7.39,77.74,<0.01,Significant,"Not Adjusted",Calculated
370cae7041e9,"Clinical Characteristics of Covid-19 in New York City","Heart Disease","OR 1.92",1.07,3.44,0.03,Significant,"Not Adjusted",Calculated
5fe871595410,"Clinical Characteristics of Covid-19 in New York City","Overweight or obese","OR 1.64",1.06,2.54,0.03,Significant,"Not Adjusted",Calculated
6f700efc08cd,"Clinical Characteristics of Covid-19 in New York City",COPD,"OR 1.09",0.43,2.81,0.85,"Not Significant","Not Adjusted",Calculated
d45a784f5c17,"Clinical Characteristics of Covid-19 in New York City","Male gender","OR 1.94",1.24,3.04,<0.01,Significant,"Not Adjusted",Calculated
dc71225120e1,"Clinical Characteristics of Covid-19 in New York City",Asthma,"OR 1.09",0.58,2.04,0.8,"Not Significant","Not Adjusted",Calculated
fe35945b70ab,"Clinical characteristics of COVID-19-infected cancer patients: A retrospective case study in three hospitals within Wuhan, China",Age,"HR 1.46",0.48,4.43,0.51,"Not Significant","Not Adjusted",Extracted
014c42c79ec7,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Heart Disease",,,,,,,
07f6311265d6,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City",Cancer,,,,,,,
0834b41ed8ae,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Ethnicity_ Hispanic vs",,,,,,,
0a26e80525e2,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Cerebrovascular disease",,,,,,,
178b344ba0c5,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City",Hypertension,,,,,,,
3db65ec980a5,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Race_ Black vs",,,,,,,
45806598586b,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Male gender",,,,,,,
81c809d7d7d4,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Heart Disease",,,,,,,
8a97f507f247,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Race_ Asian vs",,,,,,,
c3eb760957cc,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City",Diabetes,,,,,,,
c8ef48ca619c,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Chronic kidney disease",,,,,,,
c995f5fb52db,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City","Heart Failure",,,,,,,
df60f62ff383,"Clinical Characteristics of Hospitalized Covid-19 Patients in New York City",Asthma,,,,,,,
7080a158a649,"Clinical characteristics of patients diagnosed with COVID-19 in Beijing",Hypertension,"OR 6.00",1.59,22.62,<0.05,Significant,"Not Adjusted",Calculated
ec4093b3e004,"Clinical characteristics of patients diagnosed with COVID-19 in Beijing","Male gender","OR 2.13",0.63,7.16,0.22,"Not Significant","Not Adjusted",Calculated
4ad9428fda0d,"Clinical Characteristics of Patients with Severe Pneumonia Caused by the 2019 Novel Coronavirus in Wuhan, China","Smoking Status","OR 1.00",0.4,2.53,0.99,"Not Significant","Not Adjusted",Calculated
1868c677ece1,"Clinical characteristics, outcomes, and risk factors for mortality in patients with cancer and COVID-19 in Hubei, China: a multicentre, retrospective, cohort study","Male gender",,,,,,,
a396702b0196,"Clinical characteristics, outcomes, and risk factors for mortality in patients with cancer and COVID-19 in Hubei, China: a multicentre, retrospective, cohort study","Heart Disease",,,,,,,
aed50ab3e9c0,"Clinical characteristics, outcomes, and risk factors for mortality in patients with cancer and COVID-19 in Hubei, China: a multicentre, retrospective, cohort study","Male gender",,,,,,,
f2fcec175203,"Clinical characteristics, outcomes, and risk factors for mortality in patients with cancer and COVID-19 in Hubei, China: a multicentre, retrospective, cohort study",Hypertension,,,,,,,
ee71f02d2d26,"Clinical Characteristics, Risk Factors and Outcomes Among the First Consecutive 1,096 Patients Diagnosed with COVID-19: The Kuwait Experience","Smoking Status",AOR=5.86,1.4,24.47,<0.05,Significant,Adjusted,Extracted
fc5bb40c18b6,"Clinical Characteristics, Risk Factors and Outcomes Among the First Consecutive 1,096 Patients Diagnosed with COVID-19: The Kuwait Experience",Asthma,,,,,,,
9f5b2c12f425,"Clinical course and outcome of 107 patients infected with the novel coronavirus, SARS-CoV-2, discharged from two hospitals in Wuhan, China",Hypertension,,,,,,,
b860ba5ff7b4,"Clinical course and outcome of 107 patients infected with the novel coronavirus, SARS-CoV-2, discharged from two hospitals in Wuhan, China","Heart Disease",,,,,,,
c0adfc032c1b,"Clinical course and outcome of 107 patients infected with the novel coronavirus, SARS-CoV-2, discharged from two hospitals in Wuhan, China",Diabetes,,,,,,,
29016dd1e83d,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study","Smoking Status",,,,,,,
2e033a3384c4,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study","Smoking Status",,,,,,,
34edea68de60,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study","Smoking Status",,,,,,,
5f658a2c3b0d,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Age,,,,,,,
bcdb310bbf1c,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Age,,,,,,,
0b73453bb582,"Clinical course of severe and critical COVID-19 in hospitalized pregnancies: a US cohort study","Race_ Black vs","OR 0.49",0.12,2.06,0.33,"Not Significant","Not Adjusted",Calculated
19a152661bf6,"Clinical determinants for fatality of 44,672 patients with COVID-19",Hypertension,,,,,,,
983da351cd33,"Clinical determinants for fatality of 44,672 patients with COVID-19",Diabetes,,,,,,,
9d439ed62765,"Clinical determinants for fatality of 44,672 patients with COVID-19","Heart Disease",,,,,,,
ff85e9321ee8,"Clinical determinants for fatality of 44,672 patients with COVID-19","Male gender",,,,,,,
406a32fb7056,"Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China",Diabetes,"OR 1.47",0.57,3.81,0.43,"Not Significant","Not Adjusted",Calculated
6ba7198e7d99,"Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China","Heart Disease","OR 5.40",2.16,13.49,<0.01,Significant,"Not Adjusted",Calculated
a40753aa9105,"Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China",Hypertension,"OR 4.42",2.27,8.61,<0.01,Significant,"Not Adjusted",Calculated
3914e48e649f,"Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19",Hypertension,,,,,,,
715be9e7faba,"Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19","Chronic kidney disease",,,,,,,
72a009200eb5,"Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19",COPD,,,,,,,
aefa4d977b79,"Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19",Cancer,,,,,,,
c7ccdcd853dd,"Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19",Diabetes,,,,,,,
eaf2e28a4c68,"Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19","Heart Disease",,,,,,,
5f4beefb347a,"Clinical features of 95 sequential hospitalised patients with novel coronavirus 2019 disease (COVID-19), the first UK cohort","Chronic respiratory diseases",,,,,,,
7bbc2d75ee49,"Clinical features of 95 sequential hospitalised patients with novel coronavirus 2019 disease (COVID-19), the first UK cohort","Chronic kidney disease",,,,,,,
f85f660f0854,"Clinical features of 95 sequential hospitalised patients with novel coronavirus 2019 disease (COVID-19), the first UK cohort","Heart Failure",,,,,,,
7454df39350c,"Clinical findings of patients with coronavirus disease 2019 in Jiangsu province, China: A retrospective, multi-center study.","Male gender",OR=2.29,0.86,6.08,0.1,"Not Significant","Not Adjusted",Extracted
a29aeac7afb8,"Clinical findings of patients with coronavirus disease 2019 in Jiangsu province, China: A retrospective, multi-center study.","Overweight or obese",OR=6.90,2.38,20.0,<0.05,Significant,"Not Adjusted",Extracted
a9914da1491d,"Clinical findings of patients with coronavirus disease 2019 in Jiangsu province, China: A retrospective, multi-center study.","Overweight or obese",AOR=9.22,2.73,31.13,<0.05,Significant,Adjusted,Extracted
d8a7059ba354,"Clinical Presentation of COVID19 in Dementia Patients",Dementia,,,,,,,
f08ff92bfe4b,"Clinical Presentation of COVID19 in Dementia Patients",Age,,,,,,,
d418d5f3f61f,"Clinical progression of patients with COVID-19 in Shanghai, China",Age,"OR 1.08",1.04,1.13,<0.01,Significant,"Not Adjusted",Extracted
d467f2e3a937,"Clinical progression of patients with COVID-19 in Shanghai, China",Age,"AOR 1.06",1.0,1.12,0.05,"Not Significant",Adjusted,Extracted
b513e77e739f,"Cohort profile: Preliminary experience of 500 COVID-19 postive cases at a South West London District General Hospital.","Male gender",,,,,,,
3fbb7bf72577,"Comorbid Chronic Diseases and Acute Organ Injuries Are Strongly Correlated with Disease Severity and Mortality among COVID-19 Patients: A Systemic Review and Meta-Analysis",Diabetes,"OR 2.61",2.05,3.33,,Significant,"Not Adjusted",Extracted
52031eb9e93c,"Comorbid Chronic Diseases and Acute Organ Injuries Are Strongly Correlated with Disease Severity and Mortality among COVID-19 Patients: A Systemic Review and Meta-Analysis","Heart Disease","OR 3.84",2.9,5.07,,Significant,"Not Adjusted",Extracted
7017ddd927e2,"Comorbidity and its impact on 1,590 patients with COVID-19 in China: A Nationwide Analysis",Cancer,"HR 3.50",1.6,7.64,<0.01,Significant,"Not Adjusted",Extracted
ebb0b65cc3c9,"Comorbidity and its impact on 1,590 patients with COVID-19 in China: A Nationwide Analysis [medrxiv]",COPD,"HR 2.68",1.42,5.05,<0.01,Significant,"Not Adjusted",Extracted
b9aa813d0617,"Compassionate Use of Remdesivir for Patients with Severe Covid-19","Male gender","OR 1.78",0.5,6.37,0.38,,,
01babcfaf37b,"Coronavirus disease 2019 (COVID-19) and cardiovascular risk: A meta-analysis",Diabetes,"OR 3.02",2.07,4.42,,Significant,"Not Adjusted",Extracted
079943020cc8,"Coronavirus disease 2019 (COVID-19) and cardiovascular risk: A meta-analysis","Heart Failure","OR 9.77",5.36,17.79,,Significant,"Not Adjusted",Extracted
2d9d87cff415,"Coronavirus disease 2019 (COVID-19) and cardiovascular risk: A meta-analysis","Smoking Status","OR 2.75",0.46,16.33,,"Not Significant","Not Adjusted",Extracted
7abc80bf12f2,"Coronavirus disease 2019 (COVID-19) and cardiovascular risk: A meta-analysis","Heart Disease","OR 8.89",4.04,19.54,,Significant,"Not Adjusted",Extracted
5688c6d0a448,"Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up",Age,,,,,,,
655cacf24c4f,"Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up",Age,,,,,,,
f6da362a4cbe,"Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up","Cerebrovascular disease",,,,,,,
da22295aa3c3,"Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up [Journal of Infection]",COPD,,,,,,,
0007c3dc5257,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Male gender",,,,,,,
2ac2eb32b34a,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Male gender",,,,,,,
2bca890051bc,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Race_ Other vs",,,,,,,
4b1e18ae1bbd,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort",Diabetes,,,,,,,
5c2f977b6bb0,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort",Age,,,,,,,
7e16fde0be25,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort",Age,,,,,,,
8ad23c035b50,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort",Hypertension,,,,,,,
9b2553885804,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Ethnicity_ Hispanic vs",,,,,,,
ab4fb33723aa,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Chronic kidney disease",,,,,,,
bf7867495fe3,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Chronic respiratory diseases",,,,,,,
e6e92e52781b,"Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort","Race_ Black vs",,,,,,,
067f42876574,"Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans","Ethnicity_ Hispanic vs",,,,,,,
6ad92fc32574,"Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans","Ethnicity_ Hispanic vs",,,,,,,
8eafbadb15dc,"Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans","Race_ Black vs",,,,,,,
ce59199f18a0,"Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans","Race_ Black vs",,,,,,,
03123c5cd7ef,"COVID-19 in Iran, a comprehensive investigation from exposure to treatment outcomes",Hypertension,"OR 3.04",0.98,9.46,0.06,"Not Significant","Not Adjusted",Calculated
3709153e7619,"COVID-19 in Iran, a comprehensive investigation from exposure to treatment outcomes",Diabetes,"OR 2.17",0.69,6.83,0.19,"Not Significant","Not Adjusted",Calculated
fd8696bf7d17,"COVID-19 in Iran, a comprehensive investigation from exposure to treatment outcomes","Male gender","OR 0.98",0.3,3.2,0.98,"Not Significant","Not Adjusted",Calculated
6398f59a8069,"COVID-19 in Liver Transplant Recipients: An Initial Experience from the U.S. Epicenter","Heart Disease","OR 1.33",0.26,6.81,0.73,"Not Significant","Not Adjusted",Calculated
dda503f99bb7,"COVID-19 in Liver Transplant Recipients: An Initial Experience from the U.S. Epicenter",Diabetes,"OR 1.40",0.28,7.02,0.68,"Not Significant","Not Adjusted",Calculated
1f0eca221328,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter","Race_ Black vs","OR 1.27",0.43,3.73,0.67,"Not Significant","Not Adjusted",Calculated
341fb9a9307b,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter",Hypertension,"OR 1.67",0.63,4.39,0.3,"Not Significant","Not Adjusted",Calculated
6a9469f1e298,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter",Diabetes,"OR 1.44",0.58,3.55,0.43,"Not Significant","Not Adjusted",Calculated
b0736a24c156,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter","Chronic respiratory diseases","OR 1.35",0.44,4.12,0.6,"Not Significant","Not Adjusted",Calculated
b624a19d3c8b,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter","Chronic kidney disease","OR 1.56",0.59,4.11,0.37,"Not Significant","Not Adjusted",Calculated
c26616bac4c8,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter",Hypertension,"OR 1.63",0.63,4.39,0.3,"Not Significant","Not Adjusted",Calculated
cc7e29ac62a0,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter","Ethnicity_ Hispanic vs","OR 1.22",0.49,3.03,0.67,"Not Significant","Not Adjusted",Calculated
f96f85c04856,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter","Ethnicity_ Hispanic vs","OR 0.68",0.28,1.69,0.41,"Not Significant","Not Adjusted",Calculated
fd58c8b43614,"COVID-19 in solid organ transplant recipients: Initial report from the US epicenter","Male gender","OR 1.02",0.41,2.56,0.96,"Not Significant","Not Adjusted",Calculated
29cf70ac5ffe,"COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author","Male gender",,,,,,,
60c73999fb13,"COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author","Chronic kidney disease",,,,,,,
9f5aae416cc0,"COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author",Hypertension,,,,,,,
c9ca5b4ecb3d,"COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author","Race_ Black vs",,,,,,,
f6a4fdd4d3f1,"COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author",COPD,,,,,,,
fe7b802310c7,"COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author","Heart Disease",,,,,,,
282e328cb491,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years","Chronic kidney disease",OR=1.73,1.08,2.77,,Significant,"Not Adjusted",Extracted
3289ae7d5602,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years","Chronic kidney disease",AOR=0.65,0.35,1.21,,"Not Significant",Adjusted,Extracted
3ec900b1eded,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years",COPD,AOR=1.81,0.92,3.58,,"Not Significant",Adjusted,Extracted
474b55d882c3,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years","Ethnicity_ Hispanic vs","OR 0.87",0.41,1.84,0.71,"Not Significant","Not Adjusted",Calculated
71bf431a7c72,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years",COPD,OR=1.93,1.17,3.18,,Significant,"Not Adjusted",Extracted
c5cee78ce847,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years",COPD,AOR=1.47,0.79,2.73,,"Not Significant",Adjusted,Extracted
d0b5b0852fd8,"Covid-19 Testing, Hospital Admission, and Intensive Care Among 2,026,227 United States Veterans Aged 54-75 Years","Chronic kidney disease",AOR=0.50,0.24,1.06,,"Not Significant",Adjusted,Extracted
39648e84cd3f,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features",Drinking,"OR 2.72",1.28,5.81,0.01,Significant,"Not Adjusted",Calculated
66c870d4b16f,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features",Cancer,"OR 6.25",1.96,19.98,0,Significant,"Not Adjusted",Calculated
7a28747bd9d4,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features",Diabetes,"OR 0.79",0.32,1.94,0.61,"Not Significant","Not Adjusted",Calculated
9a4636c8afdc,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features",Hypertension,"OR 2.01",1.17,3.46,0.01,Significant,"Not Adjusted",Calculated
9f336b4fd46b,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features","Male gender","OR 3.25",1.87,5.65,0,Significant,"Not Adjusted",Calculated
d53165fccdf5,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features",COPD,"OR 6.69",2.78,16.13,0,Significant,"Not Adjusted",Calculated
e2a8ad387dd2,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features","Heart Disease","OR 3.02",1.45,6.32,0,Significant,"Not Adjusted",Calculated
e98717b97eac,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features","Smoking Status","OR 1.82",0.86,3.88,0.12,"Not Significant","Not Adjusted",Calculated
f743dc2bb3be,"COVID-19 with Different Severities: A Multicenter Study of Clinical Features","Cerebrovascular disease","OR 5.69",2.12,15.31,0.0,Significant,"Not Adjusted",Calculated
033713fcf3c1,"COVID-19: Impact of Obesity and Diabetes in Disease Severity",Hypertension,AOR=0.63,0.32,1.26,<0.05,Significant,Adjusted,Extracted
0cad4776a3ab,"COVID-19: Impact of Obesity and Diabetes in Disease Severity",Diabetes,AOR=5.49,3.13,9.65,<0.05,Significant,Adjusted,Extracted
4641983a6d6e,"COVID-19: Impact of Obesity and Diabetes in Disease Severity","Overweight or obese",AOR=1.91,0.94,3.84,0.07,"Not Significant",Adjusted,Extracted
46e93c1f9db3,"COVID-19: Impact of Obesity and Diabetes in Disease Severity","Male gender",AOR=3.58,1.45,8.8,<0.05,Significant,Adjusted,Extracted
47a72310ac98,"COVID-19: Impact of Obesity and Diabetes in Disease Severity","Overweight or obese",OR=2.45,1.26,4.74,<0.05,Significant,"Not Adjusted",Extracted
49f41552c7f2,"COVID-19: Impact of Obesity and Diabetes in Disease Severity",Diabetes,OR=9.38,5.49,16.02,<0.05,Significant,"Not Adjusted",Extracted
6ea03ef31863,"COVID-19: Impact of Obesity and Diabetes in Disease Severity","Male gender",OR=0.73,0.41,1.28,0.28,"Not Significant","Not Adjusted",Extracted
94b11a73e748,"COVID-19: Impact of Obesity and Diabetes in Disease Severity",Hypertension,OR=0.73,0.42,1.26,0.27,"Not Significant","Not Adjusted",Extracted
c82dc984eb08,"COVID-19: Impact of Obesity and Diabetes in Disease Severity","Male gender",AOR=2.23,1.18,4.22,<0.05,Significant,Adjusted,Extracted
ef37ab8af35c,"COVID-19: Impact of Obesity and Diabetes in Disease Severity",Hypertension,AOR=0.51,0.28,0.91,0.2,"Not Significant",Adjusted,Extracted
ab88585f5eb0,"Development and external validation of a prognostic multivariable model on admission for hospitalized patients with COVID-19","Smoking Status",,,,,,,
00ec76149c4a,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.","Chronic kidney disease","OR 4.62",1.76,12.12,0,Significant,"Not Adjusted",Calculated
2bccde3fac0d,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.","Heart Disease","OR 3.38",1.78,6.44,0,Significant,"Not Adjusted",Calculated
449ab3087a75,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.",Diabetes,"OR 4.26",2.71,6.69,0,Significant,"Not Adjusted",Calculated
5114812162c8,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.","Cerebrovascular disease","OR 5.95",2.72,12.99,0.0,Significant,"Not Adjusted",Calculated
8d1d4fa850d3,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.","Smoking Status","OR 2.34",1.36,4.01,0,Significant,"Not Adjusted",Calculated
bc9aa00427c4,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.",Cancer,"OR 7.43",2.83,19.51,0,Significant,"Not Adjusted",Calculated
ec9d08b2b8b0,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.",COPD,"OR 12.16",5.35,27.66,0,Significant,"Not Adjusted",Calculated
f9182bc5cc50,"Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.",Hypertension,"OR 3.91",2.68,5.7,0,Significant,"Not Adjusted",Calculated
871fb9b3bf93,"Diabetes is associated with increased risk for in-hospital mortality in patients with COVID-19: a systematic review and meta-analysis comprising 18,506 patients",Diabetes,,,,,,,
92cdc092e50c,"Do Patients with Cancer Have a Poorer Prognosis of COVID-19? An Experience in New York City. Title: Do Patients with Cancer Have a Poorer Prognosis of COVID-19? An Experience in New York",Cancer,"RR 1.89",1.37,2.61,,Significant,"Not Adjusted",Extracted
06f2fdf4428c,"Does comorbidity increase the risk of patients with COVID-19: evidence from meta-analysis",COPD,"OR 5.97",2.49,14.29,,Significant,"Not Adjusted",Extracted
